id_candidatura,nome_urna,nome_candidato,fb_id,nome_cidade,sigla_estado,numero_partido,nota_partido,sigla_partido,Adoção por famílias LGBTs,Respeito à identidade de gênero de pessoas trans,Cota para mulheres no legislativo,Igualdade de gênero e raça nas escolas,Ações afirmativas raciais,Estado Laico,Combate à violência contra mulher,Descriminalização do aborto,Criminalização da LGBTfobia,Desmilitarização da polícia,Desapropriação por interesse social,Defesa do meio ambiente,Orçamento participativo,Transparência,votos_recebidos,cor_tse,genero,situacao_candidatura,situacao_eleitoral
369,Daniel Lemos,Daniel Lemos,10205752970058537,Natal,RN,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,305,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
214,Richard Pasquale,Richard Pasquale,962012207242742,Recife,PE,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,28,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
48,Evelyn Macedo,Evelyn Macedo,753740314766629,Serra,ES,15,39,PMDB,S,S,S,S,S,S,S,S,S,S,S,S,S,S,106,BRANCA,FEMININO,DEFERIDO,SUPLENTE
251,SÉRGIO GONDASKI,Sérgio Gondaski,1018768588221366,Toledo,PR,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,0,BRANCA,MASCULINO,INDEFERIDO,NÃO ELEITO
416,Douglas Butzke,Douglas Butzke,1101583279932194,Sapucaia do Sul,RS,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,418,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
178,Marly Matos,Marlyy Mattos,160263414416070,Alagoa Nova,PB,14,36,PTB,S,S,S,S,S,S,S,S,S,S,S,S,S,S,12,PARDA,MASCULINO,DEFERIDO,SUPLENTE
271,ASTRID ROZA,Astrid Roza,1098415986909461,Curitiba,PR,43,51,PV,S,S,S,S,S,N,S,S,S,N,S,S,S,S,116,BRANCA,FEMININO,DEFERIDO,SUPLENTE
712,Joanna Douat,Joanna Douat,10154482092504872,São Paulo,SP,30,50,NOVO,S,S,N,S,N,S,S,S,N,N,N,S,S,S,5541,BRANCA,FEMININO,DEFERIDO,SUPLENTE
756,Isabel Teixeira,Maria Isabel Rodrigues Teixeira,1151668241520564,São Paulo,SP,30,50,NOVO,S,S,N,S,N,S,S,S,S,N,N,N,S,S,2106,BRANCA,FEMININO,DEFERIDO,SUPLENTE
499,Dalmare,Dalmare Anderson,1168294506579071,Aracaju,SE,65,91,PC do B,S,S,S,S,S,S,S,S,S,S,S,N,S,S,490,PARDA,MASCULINO,DEFERIDO,SUPLENTE
728,Professora Luiza Coppieters,Luiza Coppieters,608471055991165,São Paulo,SP,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,9744,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
793,Paulo pimentel,Paulo Pimentel,10210462826836388,São Paulo,SP,30,50,NOVO,N,N,N,N,N,N,N,N,N,N,S,S,S,S,398,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
471,Carla Ayres,Carla Salasário Ayres,1235438759842087,Florianópolis,SC,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1080,BRANCA,FEMININO,DEFERIDO,SUPLENTE
144,Túlio Caria,Tulio Cária,1086412114740276,Belo Horizonte,MG,70,29,PT do B,N,N,N,N,N,N,N,N,N,N,N,S,N,S,278,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
45,Edinho Blancher,Edson Vander,10207337502291545,Vitória,ES,23,68,PPS,S,S,S,S,S,N,S,S,S,S,S,S,S,S,0,PARDA,MASCULINO,INDEFERIDO,NÃO ELEITO
722,Galdino,Fernando Galdino,180623272366796,São Paulo,SP,30,50,NOVO,S,N,N,N,N,N,N,S,N,N,N,N,S,N,182,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
